start,end,text,,,,,,speaker
0,1000,It should be ready.,,,,,,I
1000,2000,Are you guys ready?,,,,,,I
4000,9000,"Okay, so my friends, today we will be playing a matching game.",,,,,,I
9000,11000,Do you guys know what a matching game is?,,,,,,I
13000,14000,Let me show you how it works.,,,,,,I
15000,17000,This is going to be Smurphy.,,,,,,I
17000,18000,Let's say hi to Smurphy.,,,,,,I
18000,19000,Hi Smurphy.,,,,,,id26
19000,20000,Hi.,,,,,,I
20000,21000,Hi.,,,,,,id25
21000,24000,Now Smurphy really wants to play this game today.,,,,,,I
24000,27000,And he specifically wants to guess.,,,,,,I
27000,32000,"So in front of you guys, you will see two pictures on your screens.",,,,,,I
32000,37000,But only one of you friends will see a picture in a black box.,,,,,,I
37000,38000,Okay?,,,,,,I
38000,41000,And Smurphy wants to guess that picture in the black box.,,,,,,I
41000,44000,"So let's say [id26], you'll have Smurphy, right?",,,,,,I
44000,49000,"If you have Smurphy, you will help Smurphy guess which picture is in the black box.",,,,,,I
49000,50000,Okay?,,,,,,I
50000,56000,"But if [id25], you don't have Smurphy, you will tell [id26] and Smurphy what you see in the black box.",,,,,,I
56000,59000,So that they can make the right choice.,,,,,,I
59000,60000,Yeah?,,,,,,I
60000,61000,So let's try it out.,,,,,,I
61000,63000,"[id26], let's say you have Smurphy.",,,,,,I
63000,66000,Will you be the guesser or will you be the teller?,,,,,,I
66000,68000,I will be the teller.,,,,,,id26
68000,71000,You will be the guesser because Smurphy wants to guess.,,,,,,I
71000,72000,Okay.,,,,,,id26
72000,77000,"And [id25], if you don't have Smurphy, will you be the guesser or will you be the teller?",,,,,,I
77000,78000,The teller?,,,,,,id25
78000,84000,You will be the teller because you will tell Smurphy and [id26] what you see in the black box.,,,,,,I
84000,90000,"Now, so to make our decisions, we will just tap on the screen once and that'll seal it.",,,,,,I
90000,93000,"Now, on the screen, you will see an image.",,,,,,I
93000,97000,"If you see a smiley face, a happy face, then great.",,,,,,I
97000,102000,It was a match and you found the picture that was in the black box.,,,,,,I
102000,109000,"If you see a sad face, it wasn't a match, but it's completely okay and we will move on to the next round.",,,,,,I
109000,111000,Does that sound good to you guys?,,,,,,I
111000,113000,Do we have any questions?,,,,,,I
113000,115000,Do you have any questions?,,,,,,I
115000,116000,No.,,,,,,id26
116000,118000,"Okay, so should we try it out?",,,,,,I
118000,119000,Okay.,,,,,,I
119000,124000,"So to begin the game, we will both tap on the blue arrow.",,,,,,I
124000,125000,Yes.,,,,,,I
125000,127000,"Well, let's see.",,,,,,I
127000,130000,So it looks like [id26] has a picture in the black box.,,,,,,I
130000,133000,"So [id25], you will hold Smurphy and we will guess.",,,,,,I
133000,134000,Okay.,,,,,,I
134000,137000,"So [id26], what do we see in the black box?",,,,,,I
137000,138000,A doggy.,,,,,,id26
138000,140000,She sees a doggy.,,,,,,I
140000,141000,Do you see a doggy?,,,,,,I
141000,145000,Mm-hmm.,,,,,,id25
145000,146000,Great.,,,,,,I
146000,150000,And now we will move on and [id26] will be guessing.,,,,,,I
150000,152000,"So [id25], what do we see in the black box?",,,,,,I
152000,154000,It's apple.,,,,,,id25
154000,155000,Do you see an apple?,,,,,,I
155000,157000,Let's press it.,,,,,,I
157000,158000,Great job.,,,,,,I
158000,160000,So we'll just continue like this.,,,,,,I
160000,163000,"So [id25], you can hold Smurphy now.",,,,,,I
163000,166000,"And [id26], what do we see in the black box now?",,,,,,I
166000,167000,A birdie.,,,,,,id26
167000,169000,A birdie.,,,,,,I
