game,exclude,start,end,text,speaker,trialNumStart,trialNumEnd
game41,NA,-96,-93,Do you want to say hi to the camera?,I,NA,0
game41,NA,-93,-92,Hi!,id13,NA,0
game41,NA,-91,-89,"Okay, we're ready to go.",I,NA,0
game41,NA,-89,-85,"Alright my friends, so today we're going to be playing a super fun matching game.",M,NA,0
game41,NA,-85,-83,Let us tell you how it works.,M,NA,0
game41,NA,-83,-81,Now this is going to be Smurfie.,I,NA,0
game41,NA,-81,-79,Let's say hi to Smurfie.,I,NA,0
game41,NA,-79,-78,Hi!,id14,NA,0
game41,NA,-78,-77,Hi!,I,NA,0
game41,NA,-77,-73,"Now Smurfie really really wants to play this matching game today, okay?",I,NA,0
game41,NA,-73,-65,"And specifically, he wants to guess because you two will get two images on your screens.",I,NA,0
game41,NA,-65,-60,And only one of you friends will be having a picture in a black box.,I,NA,0
game41,NA,-60,-56,"So if you have Smurfie, you will be the guesser.",I,NA,0
game41,NA,-56,-53,Meaning that you will guess what picture is in the black box.,I,NA,0
game41,NA,-53,-49,"But when you don't have Smurfie, you will be the teller.",I,NA,0
game41,NA,-49,-45,And you will tell your friends what you see in the black box.,I,NA,0
game41,NA,-45,-39,"So [id13], if you have Smurfie, are you going to be guessing with Smurfie or are you going to be telling?",M,NA,0
game41,NA,-39,-37,Guessing.,id13,NA,0
game41,NA,-37,-36,That's right!,M,NA,0
game41,NA,-36,-31,"And then for [id14], does that mean you're going to be guessing or telling if you don't have Smurfie?",M,NA,0
game41,NA,-31,-30,Telling.,id14,NA,0
game41,NA,-30,-28,"That's right, you're going to be telling Smurfie.",M,NA,0
game41,NA,-28,-27,And [id13].,M,NA,0
game41,NA,-27,-22,"Alright my friends, so to make your guess, you're going to tell all the picture you think it is.",M,NA,0
game41,NA,-22,-21,Which we will show you in a second.,M,NA,0
game41,NA,-21,-18,"After you make your guess, you will see a picture.",M,NA,0
game41,NA,-18,-16,"If it is a smiley face, it was a match.",M,NA,0
game41,NA,-16,-14,"Great job, you helped Smurfie.",M,NA,0
game41,NA,-14,-12,"If it's a sad face, that's okay.",M,NA,0
game41,NA,-12,-11,It wasn't a match.,M,NA,0
game41,NA,-11,-9,But you can help Smurfie later.,M,NA,0
game41,NA,-9,-8,Does that sound good?,M,NA,0
game41,NA,-8,-7,Great.,M,NA,0
game41,NA,-7,-5,Do you guys have any questions?,M,NA,0
game41,NA,-5,-4,"Great, okay.",M,NA,0
game41,NA,-4,-3,So let's get started.,M,NA,0
game41,NA,-3,0,Go ahead and press the box on your screen.,M,NA,0
game41,NA,0,2,Alright.,M,NA,0
game41,NA,2,3,Woo!,I,0,0
game41,NA,3,4,You can start.,M,0,0
game41,NA,4,5,So you have the black box.,M,0,0
game41,NA,5,6,So you're going to be the teller.,M,0,0
game41,NA,6,12,So we will wait for [id13] to describe what she sees in the black box.,I,0,0
game41,NA,12,14,A bird.,id13,0,0
game41,NA,14,17,A bird.,I,0,0
game41,NA,17,19,I have that one.,id14,0,0.5
game41,NA,19,21,Touch which one you think it is.,M,0,0.5
game41,NA,21,23,I got a smiley face.,id13,0.5,1
game41,NA,23,24,"Oh my gosh, that's a match.",M,0.5,1
game41,NA,24,25,Did you get one too?,I,1,1
game41,NA,25,27,"Yeah, I got one.",id14,1,1
game41,NA,27,29,Now it will be [id13]'s turn to guess.,I,1,1
game41,NA,29,31,So now what do you see [id14]?,I,1,1
game41,NA,31,33,A banana.,id14,1,1
game41,NA,33,35,I see a banana.,id13,1,1
game41,NA,35,38,So tap which one you think it is.,M,1,1.5
game41,NA,38,39,Yay!,M,1.5,1.5
game41,NA,39,42,I got a green box with a smiley face.,id14,1.5,2
game41,NA,42,43,Yay!,M,2,2
game41,NA,43,45,So that means it was a match.,M,2,2
game41,NA,45,47,"Now [id13], it's your turn.",M,2,2
game41,NA,47,51,You're just going to tell our friend what you see in the box.,M,2,2
game41,NA,51,54,I see a person in the box.,id13,2,2
game41,NA,54,55,A person?,M,2,2
game41,NA,55,56,Woo!,M,2,2
game41,NA,56,59,Give me some hints.,id14,2,2
game41,NA,59,61,I've got two people.,id14,2,2
game41,NA,61,66,One is holding out something and the other is walking.,id14,2,2
game41,NA,66,70,Do you want to give her more hints?,M,2,2
game41,NA,70,71,What?,id13,2,2
game41,NA,71,75,She's asking can you give her a little bit more hints because she sees two people too.,M,2,2
game41,NA,75,76,I see two people.,id13,2,2
game41,NA,76,78,"Oh, so the one in the box.",M,2,2
game41,NA,78,83,Do you want to give her more hints about it?,M,2,2
game41,NA,83,84,It's okay.,M,2,2
game41,NA,84,86,I know they look kind of funny.,M,2,2
game41,NA,86,89,You're just going to talk about whatever you think it looks like.,M,2,2
game41,NA,89,97,"Listen to [id13] very carefully, okay?",I,2,2
game41,NA,97,103,It looks like an animal.,id13,2,2
game41,NA,103,106,An animal?,I,2,2
game41,NA,106,118,So is that the one that looks like an animal that's holding out something?,id14,2,2.5
game41,NA,118,123,Great job!,I,2.5,3
game41,NA,123,125,Now what do we see?,I,3,3
game41,NA,125,128,A person walking.,id14,3,3
game41,NA,128,136,So our friend says she sees someone walking in the box.,M,3,3
game41,NA,136,139,I don't see any blocks.,id13,3,3
game41,NA,139,141,I don't see a box.,id13,3,3
game41,NA,141,144,"Oh, so since you have Smurfie, you are the guesser right now.",M,3,3
game41,NA,144,150,"And [id14] is the teller, so she's telling you what she sees in the box.",M,3,3
game41,NA,150,153,So she says she sees someone walking.,M,3,3
game41,NA,153,154,I see someone walking.,id13,3,3
game41,NA,154,158,Then go ahead and guess.,M,3,3.5
game41,NA,158,159,Yay!,M,3.5,3.5
game41,NA,159,160,Great job!,M,3.5,4
game41,NA,160,162,Now Smurfie goes back in.,M,3.5,4
game41,NA,162,170,Now I see a person with one leg.,id13,4,4
game41,NA,170,171,With one leg.,M,4,4
game41,NA,171,174,A falmingo.,id13,4,4
game41,NA,174,178,I see a person with one leg too.,id14,4,4
game41,NA,178,181,A flamingo with a triangle.,id13,4,4
game41,NA,181,184,A flamingo with a triangle.,I,4,4
game41,NA,184,188,I see a person with a triangle.,id14,4,4.5
game41,NA,188,190,That's okay.,I,4.5,5
game41,NA,190,193,I had a sad face.,id13,5,5
game41,NA,193,194,That's okay.,M,5,5
game41,NA,194,195,That means there wasn't a match.,M,5,5
game41,NA,195,197,You guys can keep up with Smurfie.,M,5,5
game41,NA,197,198,Here you go.,M,5,5
game41,NA,198,200,Now you're going to guess.,M,5,5
game41,NA,200,203,What do you see now?,I,5,5
game41,NA,203,205,I see something funny.,id13,5,5
game41,NA,205,208,So she says she sees someone jumping.,M,5,5
game41,NA,208,210,I see someone jumping.,id13,5,5
game41,NA,210,213,Go ahead and touch your guess.,M,5,5
game41,NA,213,214,I don't know.,M,5,5
game41,NA,214,219,"I can't see her screen either, so you're just going to touch whichever one's your guess.",M,5,5.5
game41,NA,219,221,Great job!,M,5.5,6
game41,NA,221,223,Smurfie's going to come back over here.,M,6,6
game41,NA,223,227,Now I see someone jumping again.,id13,6,6.5
game41,NA,227,230,I see someone jumping again.,id13,6,6.5
game41,NA,230,231,Great!,I,6.5,7
game41,NA,231,233,Let's pass it again.,I,7,7
game41,NA,233,234,"Here you are, [id13].",M,7,7
game41,NA,234,238,Now I see someone jumping again.,id13,7,7
game41,NA,238,243,This one kind of looks like-,id13,7,7
game41,NA,243,245,"[id13], let's listen.",M,7,7
game41,NA,245,253,It kind of seems like someone dying.,id14,7,7
game41,NA,253,256,I see what that looks like dying too.,id13,7,7
game41,NA,256,263,"All right, you can go ahead and tap it.",M,7,8
game41,NA,263,265,"All right, we're going to pass Smurfie on.",M,8,8
game41,NA,265,267,So now we're going to tell her about the one in the box.,M,8,8
game41,NA,267,270,I see a flamingo.,id13,8,8
game41,NA,270,272,She sees a flamingo.,I,8,8
game41,NA,272,279,I can't see it.,id14,8,8
game41,NA,279,285,"[id13], should we tell [id14] a little bit more about what you see in the black box?",I,8,8
game41,NA,285,290,I see something.,id13,8,8
game41,NA,290,300,I see a triangle and a person holding it with one leg.,id13,8,8
game41,NA,300,304,She sees a triangle and a person with one leg.,I,8,8
game41,NA,304,322,"I can see a person with one leg, but I can't see a person holding it.",id14,8,8.5
game41,NA,322,325,Good job!,I,8.5,9
game41,NA,325,326,Here you are.,M,9,9
game41,NA,326,327,Now what do we see?,I,9,9
game41,NA,327,329,A person walking.,id14,9,9
game41,NA,329,333,"[id14] sees a person walking, [id13].",I,9,9
game41,NA,333,334,I'm glad!,M,9,9
game41,NA,334,336,He's making so many guesses.,M,9,9
game41,NA,336,338,We're going to help him make another one.,M,9,9
game41,NA,338,342,We're going to listen to our friend while she sees it in the box.,M,9,9
game41,NA,342,344,I see a person walking.,id14,9,9
game41,NA,344,348,The person's head is square.,id14,9,9
game41,NA,348,355,You're going to push it.,M,9,9.5
game41,NA,355,360,"All right, Mr. Smurfie.",M,9.5,10
game41,NA,360,365,"[id13], what do you see in the black box?",M,10,10
game41,NA,365,369,Someone with a triangle and one leg.,id13,10,10
game41,NA,369,376,"[id14], [id13] says that she sees someone with a triangle and one leg.",I,10,10.5
game41,NA,376,379,Great!,I,10.5,11
game41,NA,379,384,There you are.,M,11,11
game41,NA,384,388,I see a person walking with a square head.,id14,11,11
game41,NA,388,390,[id13] and Smurfie.,M,11,11
game41,NA,390,393,[id14] says she sees someone walking with a square head.,M,11,11
game41,NA,393,395,Do you guys see that?,M,11,11
game41,NA,395,398,Go ahead and make your guess.,M,11,11
game41,NA,398,400,That's so silly.,M,11,11
game41,NA,400,402,Let's make the guess together.,I,11,11
game41,NA,402,406,Smurfie wants to guess.,M,11,11
game41,NA,406,408,She says it's walking with a square head.,M,11,11
game41,NA,408,410,"I see one, too.",id13,11,11
game41,NA,410,414,Go ahead and make your guess.,M,11,11.5
game41,NA,414,419,"All right, Mr. Smurfie.",M,11.5,12
game41,NA,419,421,"[id13], what do you see in the black box?",M,12,12
game41,NA,421,429,I see someone that looks like dying.,id13,12,12
game41,NA,429,431,Listen carefully to [id13].,I,12,12
game41,NA,431,434,Do you want to repeat?,I,12,12
